Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Jordan,JOR,4618.09592498567,1.55659611283953,16.693,77.981,91.7518621587381,100.0,99.2861089236717,96.4147907489487,0.2162114,-0.3501687,0.1685335,1.09804716534901,28.7737639174179,11.5,3
Kazakhstan,KAZ,14154.6324958076,8.69082156104494,4.833,74.531,97.198884231219,100.0,97.8336528246685,97.9447423331533,0.1467641,-0.2827558,-0.3815477,1.31214516427751,20.0278724259165,2.0,2
Kenya,KEN,2132.43452097647,4.48978854243448,5.487,63.834,84.3083880306996,76.2,65.5965968528709,40.8849654611543,-0.2978904,-1.3556816,-0.464532,6.21662477880402,24.3917906517518,67.7,0
Kiribati,KIR,2288.63471423684,2.45545072159028,5.1895,66.6,90.2786712646484,95.9,79.0683447485722,45.1735078207297,-0.4343103,1.2381638,0.78601,1.45679012345679,11.2568272545112,41.9,2
"Korea, Dem. People's Rep.",PRK,8074.625991382481,3.117463837096035,3.539,73.743,92.65956406180274,57.5,93.9109177513255,84.8184516885649,-1.27131019999999,0.3220654,-1.5256661,49.5507017689561,29.9291062464217,14.7,2
"Korea, Rep.",KOR,36238.639908315,2.32174328643542,2.784,83.6292682926829,96.2539901733398,100.0,100.0,99.7293536055989,1.4867237,0.6393495,1.1174546,64.108606557377,25.9439899531653,3.6,1
Kuwait,KWT,32717.7186631255,2.89855072463762,2.151,84.580487804878,92.65956406180274,100.0,100.0,100.0,0.3278963,0.2939367,0.2308269,0.350729517396184,53.7151434413218,0.1,1
Kyrgyz Republic,KGZ,2420.18542283831,4.99760701207323,3.491,72.4,91.339996215143,100.0,94.9430591604871,98.5398995968815,-0.8885033,-0.5045251,-0.936093699999999,7.14337851929093,24.3817252281764,27.6,2
Lao PDR,LAO,2123.97909415109,23.1305695942588,1.174,69.225,51.8523602531839,96.5,95.8635794968398,88.7314131605599,-0.5819014,0.5576599,-0.742416699999999,71.4558058925477,22.3176670505669,49.2,2
Latvia,LVA,23409.0845154775,1.26579885828729,6.9,76.4292682926829,101.252647399902,100.0,98.7726032777308,92.5346142806387,0.7431802,0.6201402,1.0913835,54.9959826450265,11.6020322023647,44.0,1
Lebanon,LBN,3477.72489842684,45.2430422716718,10.985,77.945,63.7923011779785,100.0,92.6,99.2,-1.1301199,-1.3896806,-1.0853525,14.1867057673509,19.2310172881236,6.8,3
Lesotho,LSO,971.90771824829,6.10544624245032,16.34,57.798,92.65956406180274,57.3,78.0789963759688,47.8913481422717,-0.6470887,-0.2588663,-0.406586499999999,1.13702239789196,23.4391013240086,34.9,3
Liberia,LBR,851.497723870206,8.21497439118964,2.914,62.324,37.7416801452637,32.5,78.8278345445612,23.3351954904068,-1.24629299999999,-0.228549,-0.868004,78.1422342192691,42.3616590279287,92.8,0
Libya,LBY,6569.16408678648,2.12615766885025,19.085,71.121,92.65956406180274,73.2,96.3545440861619,88.4991460432787,-1.41948799999999,-1.8964767,-1.6980126,0.123327687918433,32.9707065002742,3.1,3
Liechtenstein,LIE,206780.590353385,3.117463837096035,5.1895,84.2,118.726867675781,100.0,100.0,99.95,1.6931644,1.5823538,1.7275435,41.875,20.0287144500145,56.9,1
Lithuania,LTU,29384.0189598663,0.715735835228723,6.851,77.1951219512195,104.860809326172,100.0,99.9182026791093,96.3965645962382,1.2014922,0.9394441,1.3742358,35.2301501597444,9.21893860360944,33.2,1
Luxembourg,LUX,137781.681659123,2.05113269954859,6.4,83.1951219512195,108.577438354492,100.0,100.0,97.6011739095936,2.0397137,1.0730532,1.7617682,34.4538272103664,8.67476189540246,20.5,1
"Macao SAR, China",MAC,72004.7437020733,0.672498598854365,2.262,83.3317073170732,94.6616766467066,100.0,100.0,100.0,1.1159269,1.053872,0.8520978,32.4330584816998,20.0287144500145,11.0,1
Madagascar,MDG,544.987501003384,7.61335784313723,3.051,63.835,34.1320359801924,39.4,55.3389608321256,15.3671469967754,-0.8631928,-0.4805584,-0.8827065,21.2962600550017,12.7535199510191,83.1,0
Malawi,MWI,522.570393642547,32.1796504225025,5.051,67.561,36.644092994481,15.6,73.0535741738591,49.2322090448262,-0.7257604,-0.3802084,-0.1463001,22.4406024607552,23.6983194353464,62.9,0
Malaysia,MYS,11874.4273684245,1.834100204499,3.846,76.821,80.2757406864183,100.0,97.9424657751403,96.019999368878,0.9147725,0.3847799,0.3451357,57.7190381981434,16.1938532237922,7.5,2
Maldives,MDV,13379.3513577224,1.39979779674928,4.278,81.285,79.3565296847573,100.0,99.7584782998402,99.7013015304493,-0.221286999999999,-0.0544563,0.0443492,2.75167785234899,12.0123911668511,1.2,2
Mali,MLI,1094.61949265799,3.2063986409966,2.924,60.675,38.9389470920545,54.5,86.3633567815443,47.7561676952566,-1.2871409,-2.49096199999999,-1.0943496,10.896663634352,56.7830489222988,71.1,0
Malta,MLT,43898.5781808597,1.65079469283109,3.1,82.9560975609756,103.027229309082,100.0,100.0,100.0,0.622496,0.8049169,0.72718,1.4375,11.7226648774147,8.6,1
Marshall Islands,MHL,7726.33668877794,3.117463837096035,5.1895,67.075,85.7558637219654,100.0,87.4448539274847,78.9585640543577,-0.2909441,1.2772187,0.8357246,52.2222222222222,10.7256194470999,12.2,2
Mauritania,MRT,2110.12036938187,2.49164347481972,10.257,68.713,36.0277030077074,50.3,77.2846491375388,58.676920295931,-0.741247299999999,-0.5595872,-0.863509899999999,0.287611138061512,70.8224442103687,19.6,0
Mauritius,MUS,11990.7798944837,3.6045220384796,5.548,73.7890243902439,90.7246586359898,100.0,99.9265458263134,97.3737391141644,0.7653533,0.7903521,0.638614,19.4742113169755,9.15296880580014,8.6,1
Mexico,MEX,14185.7812248529,4.72225588452932,2.678,75.264,103.093322753906,99.7,99.5413676283293,92.9912822357176,-0.2199329,-0.7154541,-1.15386449999999,33.5959176419147,14.9923440243315,13.0,2
"Micronesia, Fed. Sts.",FSM,4166.00476748564,5.40874375479067,5.1895,67.357,92.65956406180274,86.9,97.0965711084738,92.9912822357176,-0.1847801,1.499468,0.9769408,92.1571428571429,12.1144203347628,2.0,2
Moldova,MDA,7576.19589413326,4.67773516007052,1.427,71.332,99.3439166347193,100.0,92.7079162757946,86.8828564200079,0.2576379,-0.3449915,-0.161332199999999,11.7370179167932,14.7583463021422,21.4,2
Monaco,MCO,288001.433369041,3.117463837096035,5.1895,86.497,158.546615600586,100.0,100.0,100.0,1.7370456,1.2387076,1.3453634,0.0,9.5810695715317,21.15,1
Mongolia,MNG,6750.6301157724,6.1977990165842,5.158,72.3980487804878,96.8181201904352,100.0,86.092655324442,74.2806502878222,-0.3892189,0.4203821,-0.09977,9.09172405879304,29.6547866481682,3.0,2
Montenegro,MNE,13263.3281277699,3.33675009282281,13.206,77.890243902439,93.8724975585938,100.0,99.2801382117873,97.8491274525811,0.3664948,0.3318563,0.1813833,61.4869888475836,17.9824100566499,39.6,2
Morocco,MAR,4153.1943359375,0.985256592004507,9.103,75.493,89.9834863018408,100.0,92.2120267209653,87.7780205460508,0.1763559,-0.4408003,-0.3678036,12.9371068787811,21.3212642117301,10.9,2
Mozambique,MOZ,656.776824637306,4.07856834812022,6.668,63.797,92.65956406180274,36.0,66.6252441342671,38.5900804802051,-0.7157933,-1.7581974,-1.1949508,45.8130349195046,20.0802484321177,76.9,0
Myanmar,MMR,1359.05001560107,3.117463837096035,2.887,67.095,92.65956406180274,76.8,85.6871417640541,74.1835210114319,-1.5583075,-2.0903985,-1.811602,42.4023779245254,32.3150340028667,62.9,0
Namibia,NAM,4413.12752211572,4.23903922877036,19.157,67.516,81.9566828199727,56.7,86.5087378352127,38.7229020528394,0.0993430999999999,0.5467327,0.3278567,7.80511120018463,19.9945355710926,30.0,3
Nauru,NRU,13609.158837552,3.117463837096035,5.1895,62.279,91.5133521769495,100.0,97.8429618988897,71.321135135507,0.0100272,1.1047052,0.2518105,0.0,6.06435493209495,1.9,2
Nepal,NPL,1447.31004458428,4.6850965426577,10.5,70.636,90.3878462155916,94.0,93.6401246842117,86.0259805937649,-0.8845295,-0.414613399999999,-0.303653399999999,41.5907220090687,45.7207706412594,73.7,3
