Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Bolivia,BOL,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.2021414,-1.1101906,-1.1775683,-1.2028195,-1.267722
Bolivia,BOL,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3855901,-0.2859636,-0.170608899999999,-0.289823899999999,-0.5460357
Bosnia and Herzegovina,BIH,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.7051218,-0.8403621,-0.7459726,-0.6453703,-0.6353163
Bosnia and Herzegovina,BIH,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.3025925,-0.3074514,-0.289740999999999,-0.3548804,-0.319134
Bosnia and Herzegovina,BIH,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2690285,-0.310701599999999,-0.248056399999999,-0.1999229,-0.5010614
Botswana,BWA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.310377,0.4025631,0.4593723,0.5409963,0.4168893
Botswana,BWA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.33481,0.3719933,0.3434669,0.3322692,0.3120842
Botswana,BWA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0835182,1.0572186,1.0798421,1.0127245,1.0322942
Brazil,BRA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.0873994999999999,-0.0686133999999999,-0.2352194,-0.2666224,-0.224002999999999
Brazil,BRA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.392171899999999,-0.4091435,-0.4398335,-0.483012599999999,-0.446218
Brazil,BRA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.427421599999999,-0.3922756,-0.415796899999999,-0.521574099999999,-0.5205702
Brunei Darussalam,BRN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0752528,1.0763513,0.9849534,0.9854734,0.8351988
Brunei Darussalam,BRN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.5634206,0.5616354,0.6385844,0.638307,0.5876078
Brunei Darussalam,BRN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1645233,1.1632013,1.175984,1.3348873,1.2027245
Bulgaria,BGR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.0577385999999999,-0.0148069999999999,-0.0737381,0.1061571,0.0428203
Bulgaria,BGR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.1505346,-0.0377457,-0.0998029,-0.0265936,-0.0333423
Bulgaria,BGR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.4210468,0.4063981,0.3269733,0.3144686,0.0399268
Burkina Faso,BFA,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.6308904,-0.746447899999999,-0.871408499999999,-0.864281,-0.8748674
Burkina Faso,BFA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.418916099999999,-0.401084599999999,-0.6266501,-0.7145087,-0.883858599999999
Burkina Faso,BFA,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.4159765,-1.5801637,-1.82102069999999,-2.0423169,-1.9063314
Burundi,BDI,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.0934389,-1.1242343,-1.1809945,-1.108269,-1.0060869
Burundi,BDI,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.32121199999999,-1.3122824,-1.32171369999999,-1.30785589999999,-1.3028277
Burundi,BDI,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.49526809999999,-1.37835589999999,-1.28089529999999,-1.2840156,-1.3763566
Cabo Verde,CPV,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.3949941,0.2774591,0.3600121,0.361672,0.4151952
Cabo Verde,CPV,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.6687901,0.4863826,0.4774863,0.422484,0.424201
Cabo Verde,CPV,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.839032,0.8339009,0.8359641,0.8691911,0.7695825
Cambodia,KHM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.5904535,-0.643403,-0.4625515,-0.4160661,-0.293501299999999
Cambodia,KHM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.1462953,-1.14770479999999,-1.1151898,-1.099508,-1.0562612
Cambodia,KHM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.2401873,-0.1486895,-0.0739156,0.1346422,0.1284232
Cameroon,CMR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.8271415,-0.787710799999999,-0.7843452,-0.778701699999999,-0.800788699999999
Cameroon,CMR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.2272568,-1.2194535,-1.2120562,-1.2400721,-1.2537215
Cameroon,CMR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.6215792,-1.57868299999999,-1.6950827,-1.6104201,-1.55680399999999
Canada,CAN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.6877631,1.682819,1.8072447,1.7452669,1.7591249
Canada,CAN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.5585901,1.5493331,1.5052581,1.4361681,1.4608299
Canada,CAN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9455077,0.7604154,0.5074459,0.6267803,0.5984769
Cayman Islands,CYM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.9047216,1.1162482,1.1842957,1.1850832,1.1842501
Cayman Islands,CYM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.7841015,0.8542534,0.8305979,0.8301979,0.8301334
Cayman Islands,CYM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2749256,1.4633939,1.4663069,1.4667806,1.4607897
Central African Republic,CAF,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.61231869999999,-1.5775561,-1.59031909999999,-1.5707645,-1.57655
Central African Republic,CAF,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.5623816,-1.5476834,-1.66733549999999,-1.7248503,-1.7147975
Central African Republic,CAF,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-2.3306101,-2.1689304,-1.9022515,-1.87417179999999,-1.83294689999999
Chad,TCD,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.2291822,-1.24045919999999,-1.1754288,-1.2154601,-1.1005006
