Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,gdp_per_capita_normalised,life_expectancy_normalised,secondary_enrollment_normalised,electricity_access_normalised,drinking_water_access_normalised,sanitation_access_normalised,government_effectiveness_normalised,political_stability_normalised,rule_of_law_normalised,forest_area_normalised,renewable_energy_normalised,inflation_normalised,unemployment_rate_normalised,pm25_exposure_normalised
Bahrain,BHR,29653.5682731534,0.919635459817651,1.084,81.423,98.8139181413527,100.0,99.9198990209829,100.0,0.6002525,-0.2758672,0.1679373,0.95,58.4950629834781,0.0,0.10227930367081269,0.8407507375557091,0.6151213106590915,1.0,0.9987546226023187,1.0,0.6228221146155958,0.5711386546234813,0.5615197703770355,0.010058489213394436,0.0,0.943076202687582,0.9723582418219222,0.33189858684943546
Bangladesh,BGD,2593.41611680774,10.4657482763412,3.635,74.93,64.2997191043961,99.5,98.7825421934741,67.6171751221237,-0.618974599999999,-1.46295089999999,-0.9600594,14.4899215263887,42.3813762359965,25.0,0.008249269292351414,0.6369656644278453,0.3927342386863065,0.9947145877378436,0.9810714618787063,0.6387550109471876,0.3489906484769835,0.2971699971513446,0.29464695331966745,0.1534175993432764,0.25960539979231567,0.9019612259976367,0.8984440645553851,0.5327493437732385
Barbados,BRB,26544.8707282621,1.44643664306159,6.448,76.332,104.371182990274,100.0,99.1626347450814,98.0924623115578,0.60457,1.2722219,0.7277751,14.6511627906977,23.7309657842996,5.5,0.09147703857897285,0.6809679241729959,0.6509287143483837,1.0,0.9869809860643937,0.978720558383098,0.6237918005379752,0.9284242380867637,0.6939718340942426,0.15512480304623025,0.057113187954309454,0.940807277232205,0.8169385448961262,0.7652193622653368
Belarus,BLR,8317.63399913792,5.78531910427998,3.458,74.3653414634147,94.7902702871216,100.0,99.8924920429612,99.7473526999237,-0.7015463,-0.3773003,-1.2305997,43.4080686559958,14.6089903841381,8.2,0.0281400814783091,0.619243659011195,0.5891955383705935,1.0,0.9983285100705395,0.9971816056352564,0.3304455147012022,0.5477287718744913,0.23063980508195947,0.4595995687901251,0.08515057113187954,0.92211977010945,0.9035725668588649,0.8789211918015909
Belgium,BEL,56614.5679499036,3.14349136500041,5.7,82.3,142.960266113281,100.0,100.0,99.486220664134,1.1947395,0.1214526,1.282799,22.604446776415,11.2160664677018,11.7,0.19596479781863504,0.8682756889084174,0.8995716915952536,1.0,1.0,0.9942685602241181,0.7563405106636704,0.6628366302532527,0.8252849768784076,0.23933324639507253,0.12149532710280374,0.9334980858707429,0.8386115376814535,0.9212126516940707
Belize,BLZ,7681.24400583113,3.28955985952768,8.698,73.739,86.4571583269413,99.6,94.8473253067341,84.3017658171591,-0.129095,0.7847219,-0.39715,54.5186321788689,28.6518070195516,30.8,0.025928720189466035,0.5995857133889901,0.5355023795850868,0.9957716701902748,0.9198883124858142,0.8248791309308172,0.45901481796878435,0.8159134517642257,0.4278257270927404,0.5772369196843912,0.31983385254413293,0.9328689708725179,0.7517457190044332,0.7038830149544587
Benin,BEN,1485.38018885134,1.16093089640415,1.637,60.961,43.5606498718262,57.0,69.5868397867067,22.248968702791,-0.1854211,-0.4030099,-0.4124793,26.4734835047889,51.0478241974862,54.5,0.004399008000532401,0.1985437197916013,0.25910515237508674,0.5454545454545455,0.5271485718843351,0.1326522452649248,0.4463642965483942,0.5417952184139008,0.4241989669483911,0.28029815607778386,0.5659397715472482,0.942036946558797,0.9563352939472084,0.42472548429378054
Bermuda,BMU,142855.374713782,3.117463837096035,5.1895,82.49,74.3967514038086,100.0,100.0,99.9416526015971,1.4756305,0.9711697,0.8001056,18.5185185185185,7.33600052500811,0.9,0.4956388712673348,0.8742389052790156,0.45779295397842823,1.0,1.0,0.9993491085049928,0.8194270302752676,0.8589439924536766,0.7110845120782897,0.19607191449111944,0.009345794392523366,0.93361018607568,0.8534030655115464,0.9695761450222563
Bhutan,BTN,3831.32535494609,2.76131569624097,3.282,73.262,86.1810001963554,100.0,99.5465791835972,86.8421082075035,0.5808357,1.3541153,0.7902665,71.60513896172,23.9456576369223,82.5,0.012550821166377653,0.5846149017638567,0.5337229960335023,1.0,0.9929503978189114,0.8532177938625158,0.6184612118668625,0.9473245269659968,0.708756678730631,0.7581468609158635,0.8566978193146417,0.9351441112231054,0.9086720945730595,0.7625433129055351
Bolivia,BOL,4421.16609889999,5.09976568317427,3.274,68.739,90.5272216796875,99.8,93.3877494672031,71.5839204142996,-0.6104172,-0.5460357,-1.267722,46.3457431920982,22.879459074231,12.8,0.014600430684881276,0.4426589667943006,0.5617272231861735,0.9978858350951374,0.8971954217988511,0.6830058403622078,0.3509125918034846,0.5087861000089571,0.22185703756442263,0.49070332419417717,0.13291796469366565,0.9250724392712564,0.9089038912873411,0.7758330579343125
